Date,Open,High,Low,Close,Adj Close,Volume
2016-01-07,0.410000,0.414000,0.410000,0.410000,0.410000,23500
2016-01-08,0.421000,0.421000,0.421000,0.421000,0.421000,3000
2016-01-11,0.428000,0.428000,0.412000,0.420000,0.420000,16100
2016-01-12,0.405000,0.425000,0.405000,0.425000,0.425000,2100
2016-01-13,0.420000,0.420000,0.410000,0.410000,0.410000,1200
2016-01-14,0.410000,0.410000,0.396000,0.396000,0.396000,6000
2016-01-15,0.369000,0.369000,0.369000,0.369000,0.369000,4000
2016-01-19,0.378000,0.383000,0.376000,0.383000,0.383000,7300
2016-01-20,0.381000,0.382000,0.344000,0.367000,0.367000,15500
2016-01-21,0.373000,0.373000,0.365000,0.365000,0.365000,1300
2016-01-22,0.369000,0.401000,0.369000,0.401000,0.401000,19200
2016-01-25,0.391000,0.393000,0.391000,0.391000,0.391000,3700
2016-01-26,0.371000,0.397000,0.371000,0.389000,0.389000,2600
2016-01-27,0.392000,0.392000,0.385000,0.385000,0.385000,13600
2016-01-28,0.380000,0.386000,0.380000,0.386000,0.386000,5300
2016-01-29,0.374000,0.380000,0.374000,0.380000,0.380000,1500
2016-02-01,0.398000,0.398000,0.391000,0.396000,0.396000,5300
2016-02-02,0.396000,0.398000,0.380000,0.398000,0.398000,1900
2016-02-03,0.401000,0.401000,0.393000,0.393000,0.393000,3100
2016-02-04,0.400000,0.400000,0.399000,0.399000,0.399000,3500
2016-02-05,0.393000,0.393000,0.379000,0.379000,0.379000,10700
2016-02-08,0.404000,0.405000,0.396000,0.396000,0.396000,13200
2016-02-09,0.417000,0.431000,0.409000,0.431000,0.431000,11000
2016-02-10,0.436000,0.436000,0.406000,0.406000,0.406000,9500
2016-02-11,0.406000,0.406000,0.406000,0.406000,0.406000,0
2016-02-12,0.435000,0.435000,0.419000,0.428000,0.428000,11700
2016-02-16,0.439000,0.445000,0.435000,0.445000,0.445000,39800
2016-02-17,0.454000,0.464000,0.454000,0.464000,0.464000,29200
2016-02-18,0.466000,0.478000,0.455000,0.478000,0.478000,44100
2016-02-19,0.454000,0.468000,0.450000,0.450000,0.450000,13500
2016-02-22,0.447000,0.450000,0.436000,0.448000,0.448000,5100
2016-02-23,0.451000,0.454000,0.451000,0.452000,0.452000,31500
2016-02-24,0.465000,0.465000,0.421000,0.421000,0.421000,29900
2016-02-25,0.409000,0.429000,0.398000,0.429000,0.429000,19100
2016-02-26,0.438000,0.460000,0.438000,0.460000,0.460000,12200
2016-02-29,0.455000,0.468000,0.445000,0.447000,0.447000,8700
2016-03-01,0.449000,0.449000,0.442000,0.442000,0.442000,5800
2016-03-02,0.434000,0.450000,0.434000,0.450000,0.450000,3900
2016-03-03,0.449000,0.453000,0.433000,0.450000,0.450000,6400
2016-03-04,0.444000,0.446000,0.439000,0.446000,0.446000,2300
2016-03-07,0.432000,0.449000,0.425000,0.425000,0.425000,11000
2016-03-08,0.447000,0.447000,0.438000,0.438000,0.438000,4400
2016-03-09,0.436000,0.436000,0.420000,0.420000,0.420000,3400
2016-03-10,0.414000,0.415000,0.414000,0.415000,0.415000,8500
